School Year,Major Program Name,"Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: White (Tot. M)",Total
2013-2014,Chemical Engineering,29,12,11,0,0,304,356
2013-2014,Civil Engineering,1,1,106,0,0,44,152
2013-2014,Computational Biology,1,0,1,0,0,5,7
2013-2014,Computer Engineering,799,150,472,14,13,2493,3941
2013-2014,Computer Science,3362,615,2078,74,45,9991,16165
2013-2014,Computer Science (BA),78,38,39,2,4,353,514
2013-2014,Computer Science (BS),255,41,82,12,4,949,1343
2013-2014,Computer Science + X,237,42,86,0,0,434,799
2013-2014,Computer Software and Media Applications,17,13,18,1,0,184,233
2013-2014,Computer Systems Engineering,40,17,63,2,0,185,307
2013-2014,Electrical & Computer Engineering,1,3,182,0,0,15,201
2013-2014,Electrical Engineering,468,150,404,10,26,2566,3624
2013-2014,Electrical and Computer Engineering,150,112,227,2,0,676,1167
2013-2014,"Electrical, Electronics and Communications Engineering",2,7,2,1,1,65,78
2013-2014,Engineering Technology,61,53,312,4,1,1022,1453
2013-2014,General Engineering,1,1,4,0,0,92,98
2013-2014,Industrial Distribution,9,15,61,2,1,384,472
2013-2014,Informatics,37,26,21,0,1,572,657
2013-2014,Information Science,77,58,39,0,1,296,471
2013-2014,Information Technology,78,140,345,4,0,584,1151
2013-2014,Management Information Systems,34,25,43,3,0,451,556
2013-2014,Mechanical Engineering,401,140,422,30,14,4463,5470
2013-2014,Software Engineering,30,22,44,2,1,467,566
2013-2014,Web Design ,1,0,6,0,0,4,11
2014-2015,Aerospace Engineering,159,13,271,6,5,440,894
2014-2015,CS and/or Eng Multiple Majors (data submitted in aggregation),2700,234,609,19,4,1651,5217
2014-2015,Chemical Engineering,23,16,16,0,0,332,387
2014-2015,Civil Engineering,0,1,103,0,0,54,158
2014-2015,Computational Biology,0,1,0,0,0,2,3
2014-2015,Computer Engineering,535,134,341,6,7,1585,2608
2014-2015,Computer Information Systems,9,15,11,0,0,116,151
2014-2015,Computer Science,4522,879,2480,74,56,11427,19438
2014-2015,Computer Science (BA),173,51,75,8,5,529,841
2014-2015,Computer Science (BS),377,55,101,12,6,1014,1565
2014-2015,Computer Science + X,333,45,89,0,0,416,883
2014-2015,Computer Software and Media Applications,20,11,17,1,0,189,238
2014-2015,Computer Systems Engineering,45,15,67,2,0,183,312
2014-2015,Computer and Information Sciences,13,53,52,1,1,46,166
2014-2015,Data Science,0,1,1,0,0,5,7
2014-2015,Electrical & Computer Engineering,2,0,186,1,2,10,201
2014-2015,Electrical Engineering,344,114,359,13,5,2088,2923
2014-2015,Electrical and Computer Engineering,142,107,161,1,0,517,928
2014-2015,"Electrical, Electronics and Communications Engineering",3,9,4,2,0,81,99
2014-2015,Engineering Technology,71,45,316,5,3,917,1357
2014-2015,General Engineering,0,2,7,1,0,60,70
2014-2015,Industrial Distribution,15,20,67,3,2,401,508
2014-2015,Informatics,76,35,40,4,2,611,768
2014-2015,Information Assurance/Cybersecurity,3,10,4,0,0,108,125
2014-2015,Information Science,77,68,52,0,3,263,463
2014-2015,Information Science ,6,4,8,0,0,25,43
2014-2015,Information Sciences,0,0,0,0,0,9,9
2014-2015,Information Technology,125,143,420,9,0,950,1647
2014-2015,Management Information Systems,46,44,47,4,0,472,613
2014-2015,Mechanical Engineering,395,112,395,30,20,3989,4941
2014-2015,Software Engineering,70,63,154,7,4,1080,1378
2014-2015,Web Design ,2,0,3,0,0,6,11
2015-2016,Aerospace Engineering,50,5,48,7,4,375,489
2015-2016,Applied Computer Science,1,0,5,0,0,23,29
2015-2016,CS and/or Eng Multiple Majors (data submitted in aggregation),1655,251,511,14,5,969,3405
2015-2016,Civil Engineering,1,2,109,0,0,10,122
2015-2016,Computational Biology,0,1,0,0,0,3,4
2015-2016,Computer Engineering,315,77,214,2,0,1181,1789
2015-2016,Computer Information Systems,2,67,4,0,0,71,144
2015-2016,Computer Science,4098,716,1826,53,36,9675,16404
2015-2016,Computer Science ,0,2,2,0,0,22,26
2015-2016,Computer Science (BA),234,69,104,17,6,651,1081
2015-2016,Computer Science (BS),413,66,111,8,4,961,1563
2015-2016,Computer Science + X,267,43,63,1,0,274,648
2015-2016,Computer Science / Engineering,119,14,74,13,10,346,576
2015-2016,Computer Software and Media Applications,22,14,23,1,1,189,250
2015-2016,Computer Technology,28,16,98,0,0,14,156
2015-2016,Computer and Information Systems,11,1,8,0,0,19,39
2015-2016,Data Science,1,4,5,0,0,43,53
